,loan_installments_bucket_label_enc,loan_tenure_bucket_label_enc,Age_bucket_label_enc,monthly_expenses_bucket_label_enc,annual_income_bucket_label_enc,house_area_bucket_label_enc,sex_label_enc,social_class_label_enc,social_class_label_enc,secondary_business_label_enc,type_of_house_label_enc,loan_purpose_label_enc,social_class_label_enc,social_class_label_enc,city_trgt_label_enc,primary_busn_label_enc
38903,0,0,1,1,4,1,0,2,2,0,3,33,2,2,14,20
18416,1,0,0,1,4,1,0,1,1,0,2,31,1,1,8,20
4786,1,0,1,1,1,1,0,1,1,0,2,21,1,1,8,20
20143,1,0,1,1,1,2,0,1,1,4,2,1,1,1,18,30
4289,0,0,1,1,3,2,0,3,3,1,2,12,3,3,11,20
8200,0,0,1,1,0,0,0,4,4,0,3,17,4,4,11,2
15045,1,0,1,1,2,2,0,0,0,0,2,12,0,0,18,20
279,0,0,1,0,2,1,1,3,3,0,3,28,3,3,11,12
16786,1,0,1,1,4,1,0,1,1,0,2,7,1,1,7,20
19937,1,0,0,1,2,2,0,2,2,0,2,17,2,2,18,15
12732,0,0,1,0,0,0,0,4,4,0,2,3,4,4,11,27
8566,1,0,1,1,0,0,0,4,4,0,2,12,4,4,11,20
7845,1,0,1,1,0,0,0,4,4,0,2,28,4,4,11,20
2934,0,0,1,0,2,1,0,2,2,0,3,16,2,2,14,20
30431,0,0,1,1,3,3,0,3,3,0,3,3,3,3,5,32
16985,0,0,1,1,4,2,1,2,2,0,2,3,2,2,11,27
22470,0,0,1,1,3,2,1,3,3,0,3,1,3,3,11,20
4879,0,0,1,0,2,1,0,1,1,0,3,19,1,1,11,20
15139,0,0,1,1,4,2,1,3,3,0,3,3,3,3,12,27
1689,0,0,1,1,2,1,0,1,1,0,3,17,1,1,3,2
38361,0,0,1,1,5,1,0,1,1,0,3,13,1,1,14,9
20939,1,0,1,1,1,1,0,1,1,0,2,17,1,1,18,15
6567,1,0,1,1,1,1,0,1,1,0,2,12,1,1,6,20
27246,0,0,0,1,4,2,1,1,1,2,1,14,1,1,17,29
18690,0,0,1,1,3,3,0,3,3,0,3,28,3,3,5,20
32632,0,0,1,1,4,2,0,0,0,2,2,5,0,0,17,20
23940,1,0,1,1,4,2,0,2,2,0,2,17,2,2,11,15
12220,0,0,1,1,0,0,0,4,4,0,3,3,4,4,11,27
26142,1,0,1,1,2,1,0,1,1,0,2,1,1,1,8,24
18265,1,0,0,1,4,1,0,3,3,0,2,21,3,3,7,13
14677,1,0,1,1,4,1,0,3,3,2,3,21,3,3,9,13
20218,0,0,1,1,2,1,0,3,3,0,3,3,3,3,11,20
996,1,0,1,0,0,2,0,0,0,0,3,3,0,0,11,27
27651,0,0,1,0,3,3,0,1,1,0,3,3,1,1,5,20
7837,1,0,1,1,0,0,0,4,4,0,2,1,4,4,11,30
27390,1,0,1,1,2,2,0,1,1,0,1,3,1,1,11,27
1490,0,0,1,0,2,1,0,3,3,0,3,2,3,3,11,18
14792,0,0,1,1,3,3,0,3,3,0,3,1,3,3,11,14
33898,0,0,1,0,4,3,0,3,3,0,3,13,3,3,5,26
22912,1,0,0,1,4,1,0,2,2,0,2,17,2,2,18,15
10344,0,0,1,1,0,0,1,4,4,0,1,28,4,4,11,20
6051,0,0,1,0,3,2,0,1,1,2,1,2,1,1,14,3
29093,0,0,1,1,3,2,0,2,2,0,3,28,2,2,14,20
19943,1,0,0,1,2,2,0,2,2,0,2,17,2,2,18,15
36463,0,0,1,1,4,1,0,0,0,0,2,13,0,0,2,9
23719,1,0,1,1,4,2,0,0,0,0,1,3,0,0,18,25
12089,0,0,1,0,0,0,0,4,4,0,3,2,4,4,11,18
27580,0,0,1,1,4,2,0,1,1,0,1,2,1,1,3,18
6264,0,0,1,1,3,2,0,3,3,0,1,28,3,3,3,20
26512,0,0,1,1,3,2,0,3,3,0,3,14,3,3,14,29
25917,1,0,1,0,3,2,1,1,1,0,3,21,1,1,11,20
32130,0,0,1,1,4,2,0,1,1,2,2,21,1,1,17,20
11933,0,0,1,1,0,0,0,4,4,0,3,12,4,4,11,20
24249,1,0,1,1,4,2,0,0,0,0,2,3,0,0,11,27
15308,0,0,1,1,3,1,0,0,0,0,3,13,0,0,11,9
37662,0,0,1,1,3,2,0,3,3,0,3,2,3,3,14,6
14252,0,0,0,1,2,2,0,2,2,0,2,3,2,2,11,25
1962,0,0,1,1,4,1,0,1,1,1,2,10,1,1,11,20
32089,0,0,1,1,5,2,0,0,0,0,1,12,0,0,11,20
1881,0,0,1,1,2,1,0,0,0,0,2,31,0,0,11,20
19215,1,0,1,1,4,1,0,3,3,0,2,7,3,3,7,20
2099,0,0,1,0,0,1,0,3,3,0,2,21,3,3,11,22
37221,0,0,1,1,4,1,0,3,3,0,3,12,3,3,14,20
18006,0,0,0,1,1,1,0,1,1,4,3,21,1,1,11,22
23910,1,0,1,1,4,1,0,1,1,0,2,17,1,1,18,15
9805,1,0,1,1,0,0,0,4,4,0,2,28,4,4,11,20
34911,0,0,1,1,4,1,0,3,3,0,3,3,3,3,11,27
32986,0,0,1,1,3,1,0,1,1,4,2,1,1,1,16,14
34079,0,0,1,1,3,1,0,3,3,0,3,2,3,3,14,6
23601,1,0,1,1,1,1,0,1,1,0,2,1,1,1,8,20
21331,0,0,1,1,3,1,0,4,4,0,1,13,4,4,13,26
38742,0,0,1,0,4,3,0,3,3,0,3,28,3,3,11,20
961,0,0,1,1,3,1,0,3,3,0,2,2,3,3,10,18
4234,1,0,1,1,2,1,0,0,0,0,2,1,0,0,6,14
11873,0,0,0,0,0,0,0,4,4,0,2,28,4,4,11,20
5071,1,0,1,0,3,1,0,2,2,0,2,7,2,2,11,20
23543,0,0,1,0,2,1,0,1,1,4,2,14,1,1,11,20
39418,0,0,1,1,5,1,0,1,1,0,2,14,1,1,11,20
39566,0,0,1,0,3,3,0,3,3,0,3,3,3,3,5,32
5000,0,0,1,1,4,2,1,2,2,0,1,3,2,2,11,25
36999,0,0,1,1,3,1,0,3,3,0,3,3,3,3,1,27
19469,0,0,1,1,4,1,1,4,4,0,1,28,4,4,13,20
9360,0,0,1,1,0,0,0,4,4,0,3,21,4,4,11,20
11983,1,0,1,1,0,0,0,4,4,0,2,21,4,4,11,13
3041,0,0,1,1,1,1,0,1,1,3,3,21,1,1,11,20
32524,0,0,1,0,3,1,0,1,1,0,3,2,1,1,1,6
10010,1,0,1,1,0,0,0,4,4,0,2,21,4,4,11,13
7791,0,0,1,1,0,0,0,4,4,0,0,13,4,4,11,26
20583,1,0,1,1,2,2,0,2,2,0,2,17,2,2,18,15
17351,1,0,1,1,4,1,0,1,1,0,3,3,1,1,7,20
35942,0,0,1,1,4,1,1,1,1,0,2,2,1,1,11,18
3699,0,0,1,0,2,3,0,3,3,1,3,31,3,3,11,20
1781,0,0,1,1,0,1,0,1,1,0,3,13,1,1,2,26
33255,0,0,1,0,4,3,0,3,3,0,3,28,3,3,11,20
38897,0,0,1,1,5,2,0,3,3,0,3,12,3,3,14,20
23199,0,0,1,0,2,3,0,3,3,0,3,28,3,3,5,20
27939,0,0,1,1,4,2,0,1,1,2,1,21,1,1,17,20
4725,1,0,1,1,3,2,1,0,0,0,1,12,0,0,11,20
15777,1,0,1,1,4,1,0,3,3,0,2,14,3,3,7,29
7379,0,0,1,1,3,1,0,1,1,4,3,1,1,1,11,30
18666,1,0,1,1,2,1,0,1,1,0,2,17,1,1,18,15
11363,0,0,1,1,0,0,0,4,4,0,2,28,4,4,11,12
19251,0,0,0,0,3,1,0,0,0,0,2,3,0,0,11,27
5206,0,0,1,0,2,1,1,2,2,3,2,4,2,2,11,20
5932,0,0,1,1,2,2,0,2,2,0,3,12,2,2,14,20
30816,0,0,1,1,5,1,0,4,4,0,3,13,4,4,13,20
38660,0,0,1,0,3,3,0,3,3,0,3,7,3,3,11,20
30614,0,0,1,1,4,2,0,1,1,2,1,1,1,1,17,14
10856,1,0,0,1,0,0,0,4,4,0,1,31,4,4,11,20
29317,1,0,1,1,4,1,0,1,1,0,2,17,1,1,8,10
24483,0,0,1,1,3,1,0,0,0,0,3,28,0,0,1,12
21672,0,0,0,1,3,2,0,1,1,4,2,3,1,1,11,20
32236,0,0,1,1,3,2,0,3,3,0,3,2,3,3,11,18
34921,0,0,1,1,3,1,0,1,1,0,1,3,1,1,3,27
1115,0,0,1,1,3,1,0,1,1,0,3,21,1,1,11,13
32520,0,0,0,1,3,1,0,3,3,0,3,2,3,3,11,6
11997,1,0,1,1,0,0,0,4,4,0,2,21,4,4,11,13
35532,0,0,1,1,5,1,0,1,1,0,3,3,1,1,3,27
39121,0,0,1,1,3,1,0,4,4,0,3,21,4,4,1,13
4463,0,0,1,0,1,1,0,3,3,0,3,31,3,3,11,20
22383,1,0,1,1,2,1,0,0,0,0,2,17,0,0,18,15
10436,1,0,1,1,0,0,0,4,4,0,3,17,4,4,6,20
8303,0,0,1,0,1,0,0,3,3,0,3,3,3,3,11,27
31643,0,0,0,1,3,2,0,2,2,1,2,14,2,2,11,29
16364,1,0,1,1,1,1,0,0,0,0,2,28,0,0,11,20
35791,0,0,1,1,4,2,0,1,1,2,2,1,1,1,17,20
26594,0,0,1,0,3,3,0,3,3,0,3,3,3,3,11,32
10961,0,0,1,0,0,0,0,4,4,0,0,28,4,4,11,20
2798,0,0,1,1,3,1,0,3,3,0,2,13,3,3,11,26
25373,1,0,1,1,2,1,0,1,1,0,2,15,1,1,11,20
28476,0,0,1,1,3,2,0,3,3,0,2,31,3,3,14,20
9745,1,0,1,1,0,0,0,4,4,0,2,7,4,4,11,20
21403,1,0,1,1,2,2,0,1,1,0,2,17,1,1,18,15
7256,0,0,1,1,1,1,0,3,3,0,3,13,3,3,2,26
5489,0,0,1,1,2,2,0,2,2,0,2,12,2,2,11,20
28371,0,0,0,1,4,1,0,1,1,0,3,3,1,1,3,27
30162,0,0,0,1,4,1,0,3,3,0,3,13,3,3,14,26
30543,0,0,1,1,3,2,1,1,1,1,3,14,1,1,11,29
4939,1,0,0,1,1,1,0,1,1,0,2,17,1,1,8,10
31348,0,0,1,0,4,3,0,3,3,0,3,1,3,3,11,20
35153,0,0,0,1,3,1,0,1,1,0,2,17,1,1,16,15
16261,0,0,1,1,3,2,0,3,3,1,3,2,3,3,1,20
2246,0,0,1,1,3,2,0,2,2,4,3,17,2,2,11,15
19131,1,0,0,1,4,1,0,3,3,1,1,16,3,3,9,20
11875,0,0,1,1,0,0,0,4,4,0,2,14,4,4,11,20
5046,0,0,0,1,3,1,0,0,0,0,2,3,0,0,10,27
16905,1,0,1,1,1,1,0,1,1,0,2,1,1,1,6,24
13145,1,0,0,1,1,1,0,1,1,0,2,3,1,1,11,27
24,0,0,1,1,3,1,0,3,3,0,2,3,3,3,10,23
11387,0,0,1,1,0,0,0,4,4,0,3,14,4,4,10,29
37313,0,0,0,1,4,1,0,1,1,0,1,2,1,1,3,18
7282,0,0,1,1,3,1,0,0,0,0,2,3,0,0,11,25
39235,0,0,1,1,3,1,0,2,2,0,3,12,2,2,14,20
32701,0,0,1,1,3,2,0,1,1,1,3,2,1,1,11,20
34017,0,0,1,1,4,1,0,3,3,0,1,2,3,3,3,18
31879,0,0,1,1,3,1,0,1,1,4,2,14,1,1,16,20
20402,1,0,1,1,1,2,0,1,1,0,2,3,1,1,11,25
27483,0,0,1,1,2,1,0,3,3,0,3,1,3,3,14,14
37288,0,0,1,1,5,1,0,2,2,0,3,13,2,2,11,9
32730,0,0,1,1,4,2,0,0,0,2,2,3,0,0,17,27
4343,0,0,1,0,1,1,0,2,2,0,3,9,2,2,14,20
33484,0,0,0,1,3,1,0,1,1,0,3,3,1,1,3,27
24854,0,0,1,0,3,3,0,3,3,0,3,23,3,3,5,20
5616,0,0,1,1,3,1,0,1,1,0,3,27,1,1,14,20
3872,1,0,1,1,5,1,0,0,0,0,2,1,0,0,11,20
2752,0,0,1,1,1,1,0,0,0,3,3,14,0,0,11,20
37222,0,0,1,1,4,2,0,3,3,0,3,12,3,3,14,20
3818,0,0,1,1,1,1,0,3,3,1,3,17,3,3,2,20
33492,0,0,1,0,4,3,0,3,3,0,3,3,3,3,11,32
32928,0,0,1,1,4,1,0,3,3,0,1,17,3,3,3,20
13163,1,0,1,1,4,1,0,2,2,0,1,2,2,2,7,6
36343,0,0,1,1,3,1,0,3,3,0,3,3,3,3,1,27
28095,1,0,1,1,1,1,0,1,1,0,2,4,1,1,11,20
25559,0,0,0,1,3,1,0,3,3,0,3,21,3,3,1,13
17653,1,0,1,1,4,1,0,3,3,1,1,21,3,3,9,13
2626,0,0,1,0,0,1,0,3,3,0,3,13,3,3,11,26
4028,0,0,1,1,2,1,0,3,3,0,2,1,3,3,11,24
20146,1,0,1,1,2,2,0,1,1,0,2,17,1,1,18,15
37714,0,0,1,1,5,2,0,3,3,0,3,13,3,3,14,9
7351,1,0,0,1,1,1,0,1,1,0,2,7,1,1,8,20
5573,0,0,1,1,1,1,0,0,0,4,1,21,0,0,11,22
38615,0,0,1,1,4,3,0,0,0,0,2,21,0,0,11,13
35952,0,0,1,1,4,1,1,1,1,0,2,1,1,1,11,20
18263,0,0,1,1,3,3,0,3,3,0,3,28,3,3,5,20
11689,0,0,1,1,0,0,0,4,4,0,3,16,4,4,11,20
18583,0,0,1,1,4,2,0,3,3,0,3,21,3,3,1,13
34127,0,0,1,1,5,2,0,1,1,0,3,2,1,1,14,3
11267,1,0,1,1,0,0,0,4,4,0,3,17,4,4,11,10
17960,1,0,1,1,2,2,0,2,2,0,1,17,2,2,18,15
17703,0,0,1,1,3,1,0,2,2,0,2,3,2,2,11,25
14545,0,0,1,1,2,1,0,2,2,0,1,3,2,2,11,27
17290,0,0,1,1,4,2,0,3,3,0,3,2,3,3,14,18
6321,1,0,1,1,4,1,0,1,1,0,2,3,1,1,11,20
9219,1,0,1,1,0,0,0,4,4,0,2,3,4,4,11,20
36499,0,0,0,1,4,1,0,1,1,0,1,28,1,1,3,20
15129,0,0,1,1,3,2,0,3,3,0,3,14,3,3,12,20
37087,0,0,1,1,4,1,0,1,1,0,1,29,1,1,3,20
21793,1,0,1,1,2,2,0,2,2,0,2,17,2,2,18,15
2024,0,0,1,1,3,1,0,2,2,0,2,3,2,2,10,27
15402,0,0,1,1,3,1,0,1,1,3,1,14,1,1,11,29
16737,0,0,0,0,3,2,0,3,3,0,1,28,3,3,11,20
36313,0,0,0,1,3,1,0,1,1,4,2,14,1,1,16,29
39098,0,0,1,1,2,2,0,1,1,0,2,2,1,1,11,18
1432,0,0,1,1,3,1,0,3,3,0,3,17,3,3,11,20
7671,0,0,0,0,0,0,0,4,4,0,1,27,4,4,14,20
6606,1,0,1,1,1,1,0,3,3,0,3,28,3,3,9,20
33858,0,0,1,1,4,2,0,3,3,0,3,13,3,3,5,26
5450,1,0,1,1,1,1,0,1,1,0,2,31,1,1,8,20
2894,0,0,1,1,3,1,0,0,0,0,2,13,0,0,11,0
25162,0,0,1,1,3,3,0,3,3,1,1,1,3,3,9,20
30686,0,0,1,1,3,1,0,3,3,0,3,13,3,3,14,26
8444,0,0,1,1,0,0,0,4,4,0,1,31,4,4,11,20
23533,0,0,1,0,2,1,0,1,1,4,2,14,1,1,16,29
2970,0,0,1,1,2,2,0,4,4,0,3,28,4,4,14,12
21775,1,0,1,1,2,2,0,1,1,0,2,17,1,1,18,15
6896,0,0,0,1,1,1,0,3,3,4,3,14,3,3,11,29
36388,0,0,1,1,5,2,0,2,2,0,3,3,2,2,11,27
22254,1,0,1,1,2,2,0,2,2,0,2,17,2,2,18,15
11672,0,0,1,1,0,0,0,4,4,0,3,9,4,4,11,20
33940,0,0,1,1,3,2,0,1,1,1,2,1,1,1,11,24
34575,0,0,1,1,5,1,0,3,3,0,3,2,3,3,11,3
31118,0,0,1,1,4,1,0,3,3,4,2,14,3,3,16,20
11453,0,0,0,0,0,0,0,4,4,0,3,1,4,4,11,14
25409,1,0,1,1,1,1,0,1,1,0,2,35,1,1,11,20
11197,1,0,0,1,0,0,0,4,4,0,2,17,4,4,8,10
5464,1,0,1,1,1,1,0,1,1,0,2,17,1,1,8,10
12783,0,0,1,1,0,0,0,4,4,0,1,16,4,4,11,20
22526,0,0,1,1,2,1,0,2,2,0,3,4,2,2,14,20
10854,1,0,0,1,0,0,0,4,4,0,1,10,4,4,11,20
32542,0,0,1,1,4,2,0,0,0,2,2,21,0,0,17,20
5155,0,0,1,1,4,1,0,2,2,0,2,3,2,2,11,25
19893,0,0,1,1,2,2,0,2,2,0,1,4,2,2,11,20
39844,0,0,1,0,2,3,0,3,3,0,2,0,3,3,11,20
20281,1,0,1,1,4,1,0,3,3,1,1,3,3,3,9,27
36790,0,0,1,1,3,2,1,1,1,0,2,10,1,1,14,20
6120,1,0,1,1,1,1,0,1,1,0,2,3,1,1,8,27
4892,0,0,0,1,1,1,0,3,3,0,3,2,3,3,14,18
7212,0,0,1,1,1,1,0,1,1,4,3,13,1,1,2,26
22902,1,0,1,1,4,2,0,2,2,0,2,17,2,2,18,15
17080,0,0,1,1,3,2,0,3,3,0,3,3,3,3,1,27
2839,0,0,1,1,3,1,0,0,0,0,3,13,0,0,11,0
32471,0,0,1,1,5,3,0,3,3,0,2,13,3,3,13,9
19400,0,0,1,1,3,2,0,1,1,2,3,21,1,1,1,13
24397,1,0,1,1,4,2,0,1,1,0,2,17,1,1,18,15
38315,0,0,1,1,5,3,0,3,3,0,2,17,3,3,3,20
14235,0,0,1,1,4,2,0,3,3,0,3,14,3,3,12,4
24756,0,0,0,0,2,3,0,3,3,0,3,17,3,3,5,10
22103,0,0,1,1,2,1,0,1,1,0,3,3,1,1,14,27
11741,1,0,1,1,0,0,0,4,4,0,1,31,4,4,11,20
32731,0,0,0,1,4,2,0,1,1,2,2,21,1,1,17,20
16577,1,0,1,1,3,1,0,0,0,0,1,3,0,0,18,27
20796,0,0,0,1,2,1,0,1,1,4,2,12,1,1,11,20
12414,0,0,1,1,0,0,0,4,4,0,1,16,4,4,11,20
4276,1,0,1,1,1,1,0,0,0,0,2,1,0,0,6,14
1081,0,0,1,1,2,1,0,1,1,4,3,21,1,1,11,13
9040,1,0,1,1,0,0,0,4,4,0,2,21,4,4,11,13
12969,0,0,0,1,1,2,0,4,4,2,1,21,4,4,11,13
4019,0,0,1,1,3,1,0,0,0,0,2,7,0,0,11,20
25641,0,0,1,1,3,2,0,0,0,0,2,2,0,0,11,18
33927,0,0,1,0,3,3,0,3,3,0,3,13,3,3,5,26
26915,1,0,0,1,4,2,0,2,2,0,2,17,2,2,18,15
17187,1,0,0,1,2,2,0,0,0,0,2,17,0,0,18,15
27190,0,0,1,1,3,3,0,1,1,0,3,1,1,1,11,24
30449,0,0,1,0,2,2,0,0,0,0,1,2,0,0,14,6
28799,0,0,1,1,2,1,0,3,3,0,3,1,3,3,14,14
19496,0,0,1,1,1,1,0,0,0,4,3,21,0,0,11,13
34839,0,0,1,1,4,1,0,1,1,0,1,12,1,1,3,20
35328,0,0,1,1,3,2,1,0,0,0,3,14,0,0,11,20
28422,0,0,1,2,3,1,0,3,3,0,3,2,3,3,14,3
27257,0,0,1,1,3,1,0,1,1,0,3,4,1,1,1,20
15213,0,0,1,1,1,1,0,1,1,4,3,21,1,1,11,13
13211,1,0,1,2,4,1,0,3,3,2,3,21,3,3,9,13
5488,0,0,1,1,2,2,0,2,2,0,2,3,2,2,11,25
30956,0,0,1,0,3,3,0,3,3,0,3,3,3,3,11,32
31903,0,0,1,0,4,3,0,3,3,0,3,1,3,3,11,20
3859,1,0,1,1,5,1,0,0,0,0,2,1,0,0,11,24
3779,0,0,1,1,1,1,0,1,1,4,3,12,1,1,14,20
31965,0,0,1,1,3,1,0,1,1,0,3,3,1,1,14,27
20087,0,0,1,1,4,1,0,3,3,0,3,2,3,3,11,6
23341,1,0,1,1,1,1,0,1,1,0,1,0,1,1,11,20
2975,0,0,1,1,2,1,0,2,2,0,3,28,2,2,14,12
37083,0,0,1,1,4,2,0,0,0,2,2,14,0,0,17,20
13255,1,0,1,1,2,1,0,1,1,0,2,7,1,1,11,20
33704,0,0,1,1,4,2,0,0,0,2,2,21,0,0,17,20
3874,1,0,1,1,4,1,0,0,0,0,2,12,0,0,11,21
39709,0,0,1,1,3,1,0,4,4,0,3,2,4,4,11,6
20192,1,0,1,1,4,1,0,3,3,1,1,3,3,3,9,20
2564,0,0,1,0,1,2,0,0,0,0,2,13,0,0,11,26
5399,0,0,1,1,3,1,0,3,3,0,2,1,3,3,10,24
10802,0,0,1,1,0,0,0,4,4,0,3,14,4,4,11,20
29955,0,0,1,1,3,2,0,3,3,0,3,12,3,3,14,20
8861,1,0,1,1,0,0,0,4,4,0,2,28,4,4,11,20
23903,1,0,1,1,3,1,0,4,4,0,1,4,4,4,9,20
18636,1,0,1,1,2,2,0,2,2,0,2,17,2,2,18,15
5722,0,0,1,1,2,2,0,0,0,0,1,17,0,0,14,10
6838,1,0,1,1,2,1,0,1,1,0,1,1,1,1,6,14
30704,0,0,1,0,2,1,1,3,3,0,2,28,3,3,16,20
37534,1,1,0,1,3,1,0,3,3,0,3,21,3,3,11,13
13920,0,0,1,1,1,1,0,1,1,4,2,3,1,1,11,27
39809,0,0,1,1,4,1,0,3,3,0,3,3,3,3,14,27
27836,0,0,1,1,5,1,0,2,2,0,2,13,2,2,13,0
2166,0,0,1,1,1,2,0,3,3,0,3,21,3,3,11,20
34328,0,0,1,0,3,1,0,3,3,0,3,3,3,3,1,20
20033,1,0,0,1,4,1,0,3,3,0,2,1,3,3,7,20
6458,0,0,1,1,2,1,0,3,3,0,3,12,3,3,14,20
32361,0,0,1,0,4,3,0,3,3,0,3,3,3,3,5,32
24805,1,0,0,1,1,1,0,1,1,0,2,15,1,1,11,20
4369,0,0,1,0,2,1,0,3,3,0,2,14,3,3,11,20
20855,0,0,0,1,3,1,0,1,1,0,3,1,1,1,1,14
21147,0,0,1,1,2,2,0,3,3,0,3,3,3,3,14,27
8541,1,0,1,1,0,0,0,4,4,0,3,1,4,4,11,30
6007,0,0,1,1,2,2,0,3,3,0,3,7,3,3,3,20
1273,0,0,1,0,3,1,0,3,3,0,3,17,3,3,11,20
29791,0,0,1,0,3,2,0,3,3,0,1,14,3,3,14,29
2159,0,0,1,1,1,2,0,3,3,0,3,4,3,3,11,20
26455,0,0,1,1,4,1,0,2,2,0,1,3,2,2,13,32
37024,0,0,1,1,3,1,0,3,3,0,3,4,3,3,1,20
18759,1,0,1,1,1,2,0,1,1,0,2,31,1,1,11,20
33426,0,0,1,1,3,1,0,0,0,0,1,4,0,0,11,20
9708,1,0,0,1,0,0,0,4,4,0,2,28,4,4,7,20
23081,1,0,1,1,1,2,0,1,1,0,2,12,1,1,11,20
3145,1,0,1,1,2,1,0,0,0,0,2,21,0,0,11,20
8754,0,0,1,1,0,0,0,4,4,0,3,21,4,4,11,20
10687,0,0,1,1,0,0,0,4,4,0,0,25,4,4,11,20
3014,0,0,1,1,1,1,0,1,1,3,3,21,1,1,11,22
3388,0,0,1,1,0,2,0,0,0,0,1,13,0,0,14,26
34509,0,0,0,1,4,1,0,2,2,4,1,3,2,2,11,27
38175,0,0,0,1,2,2,0,0,0,0,2,13,0,0,11,9
33445,0,0,1,0,4,3,0,3,3,0,3,3,3,3,5,32
3083,0,0,1,1,2,2,0,2,2,0,1,21,2,2,11,13
10617,0,0,1,1,0,0,0,4,4,0,1,17,4,4,11,20
11220,0,0,1,0,0,0,0,4,4,0,1,3,4,4,11,27
34289,0,0,1,1,4,2,0,1,1,2,2,1,1,1,11,14
22102,0,0,0,1,1,1,0,2,2,4,3,3,2,2,11,27
32927,0,0,1,1,4,1,0,3,3,4,1,3,3,3,3,27
21294,0,0,1,0,2,3,0,3,3,0,3,1,3,3,5,20
15686,0,0,1,0,3,1,1,3,3,0,3,2,3,3,12,18
39188,0,0,1,1,3,1,0,3,3,0,3,2,3,3,1,6
38766,0,0,1,1,4,2,0,0,0,0,1,2,0,0,14,6
17352,1,0,1,1,2,1,0,0,0,0,2,3,0,0,11,23
27377,1,0,1,1,1,1,0,1,1,0,3,3,1,1,6,25
16566,1,0,1,1,2,1,0,2,2,4,2,21,2,2,18,13
615,0,0,1,1,3,1,0,4,4,0,3,28,4,4,11,12
3352,0,0,1,0,2,1,1,0,0,0,2,12,0,0,11,20
38855,0,0,0,1,3,2,0,3,3,0,3,4,3,3,11,20
24861,0,0,1,1,3,3,0,3,3,1,2,2,3,3,9,6
36990,0,0,1,1,4,1,0,1,1,3,3,21,1,1,11,13
10888,0,0,1,1,0,0,0,4,4,0,2,28,4,4,11,12
13666,0,0,1,1,3,3,0,3,3,1,3,17,3,3,5,15
9889,0,0,1,1,0,0,0,4,4,0,0,2,4,4,11,18
37576,0,0,1,1,5,1,0,1,1,0,2,13,1,1,3,9
