U.S. Custom Ports,Coast,Year,ImportTons,ExportTons
"Chester, PA",A,2003,44300.60000000006,28208.56
"Corpus Christi, TX",G,2003,24.59,31.0
"Everett, WA",P,2003,0.0,0.0
"Fernandina Beach, FL",A,2003,4617.03,7746.820000000027
"Fort Pierce, FL",A,2003,56.02,206.77
"Freeport, TX",G,2003,27639.17,22539.67
"Galveston, TX",G,2003,4816.14,1585.46
"Gloucester City, NJ",A,2003,109.0,712.95
"Gramercy, LA",G,2003,6303.02,584.1299999999984
"Gulfport, MS",G,2003,109807.41,94282.0400000001
"Honolulu, HI",HI,2003,18545.42,18363.31
"Houston, TX",G,2003,449696.94,483185.6
"Jacksonville, FL",A,2003,41654.35,71699.5
"Kodiak, AK",AK,2003,0.0,96.0
"Lake Charles, LA",G,2003,240.0,4190.7
"Long Beach, CA",P,2003,2367611.59,723100.9000000011
"Longview, WA",P,2003,0.0,0.0
"Los Angeles, CA",P,2003,3641578.7300000074,1022320.17
"Mayaguez, PR",PR,2003,12059.30000000008,11782.56
"Miami, FL",A,2003,427678.62,336250.9500000007
"Mobile, AL",G,2003,6030.51,7308.43
"New Orleans, LA",G,2003,97840.14,139104.48
"New York, NY",A,2003,1964759.3300000073,838276.5
"Newport News, VA",A,2003,47890.21,31664.04
"Norfolk, VA",A,2003,633455.09,459751.91
"Oakland, CA",P,2003,516558.4300000005,547720.0
"Panama City, FL",G,2003,11.23,0.0
"Pensacola, FL",G,2003,1.0,0.0
"Pensauken, NJ",A,2003,18.0,104.36
"Philadelphia, PA",A,2003,94577.1,8831.1
"Ponce, PR",PR,2003,5575.69,1508.44
"Port Angeles, WA",P,2003,0.0,0.0
"Port Arthur, TX",G,2003,13.02,0.0
"Port Canaveral, FL",A,2003,22.0,16.0
"Port Everglades, FL",A,2003,186930.12,235880.9700000012
"Port Hueneme, CA",P,2003,10042.66,395.07
"Port Manatee, FL",G,2003,524.93,0.69
"Portland, ME",A,2003,1670.53,707.81
"Portland, OR",P,2003,63428.13,146873.16
"Portsmouth, NH",A,2003,0.0,0.0
"Salem, NJ",A,2003,0.0,0.0
"San Diego, CA",P,2003,43816.59,9236.7
"San Francisco, CA",P,2003,7686.75,7225.38
"San Juan, PR",PR,2003,146676.97,38780.98
"Savannah, GA",A,2003,595050.91,529358.44
"Seattle, WA",P,2003,485943.3300000012,328798.27
"Tacoma, WA",P,2003,594038.5200000011,337250.3
"Tampa, FL",G,2003,2337.72,3291.7
"Vancouver, WA",P,2003,123.33,0.0
"West Palm Beach, FL",A,2003,34389.790000000336,106037.31
"Wilmington, DE",A,2003,166118.83,28909.539999999935
"Wilmington, NC",A,2003,43702.03,28255.42
"Aberdeen, WA",P,2004,0.0,0.0
"Anacortes, WA",P,2004,0.0,0.0
"Anchorage, AK",AK,2004,2631.05,27063.04
"Baltimore, MD",A,2004,236093.86,118085.98
"Baton Rouge, LA",G,2004,1.01,0.0
"Beaufort-Morehead City, NC",A,2004,19.0,0.0
"Beaumont, TX",G,2004,43.21,74.0
"Boston, MA",A,2004,72652.89000000007,46558.15
"Brunswick, GA",A,2004,2.0,36.0
"Camden, NJ",A,2004,523.91,8492.520000000033
"Charleston, SC",A,2004,837582.2200000018,583669.02
"Chester, PA",A,2004,48669.730000000105,35847.93
"Corpus Christi, TX",G,2004,46.05,0.0
"Everett, WA",P,2004,130.52,0.0
"Fernandina Beach, FL",A,2004,4336.56,8090.690000000031
"Fort Pierce, FL",A,2004,251.66,1280.57
"Freeport, TX",G,2004,26783.94,23201.84
"Galveston, TX",G,2004,6248.01,2555.52
"Gloucester City, NJ",A,2004,35.0,25.0
"Gramercy, LA",G,2004,1061.5,289.23
"Gulfport, MS",G,2004,119934.15,106734.34
"Honolulu, HI",HI,2004,21372.17,24082.07
"Houston, TX",G,2004,532288.04,565481.2199999993
"Jacksonville, FL",A,2004,41626.73,101945.51
"Kodiak, AK",AK,2004,0.0,238.67
"Lake Charles, LA",G,2004,38.0,920.74
"Long Beach, CA",P,2004,2951438.65,812818.0100000013
"Longview, WA",P,2004,0.0,0.0
"Los Angeles, CA",P,2004,3845539.3,1029190.38
"Mayaguez, PR",PR,2004,12120.21,11707.11
"Miami, FL",A,2004,465052.46,329597.7900000008
"Mobile, AL",G,2004,9232.16,12591.32
"New Orleans, LA",G,2004,99855.4800000001,143978.69
"New York, NY",A,2004,2238763.4900000053,924433.9599999987
"Newport News, VA",A,2004,57920.36,38167.65
"Norfolk, VA",A,2004,717346.3499999986,488687.2200000007
"Oakland, CA",P,2004,613295.8100000012,584035.11
"Panama City, FL",G,2004,0.0,0.0
"Pensacola, FL",G,2004,0.0,0.0
"Pensauken, NJ",A,2004,22.36,135.27
"Philadelphia, PA",A,2004,113385.49,18837.19
"Ponce, PR",PR,2004,1763.75,40.19
"Port Angeles, WA",P,2004,0.0,0.0
"Port Arthur, TX",G,2004,9.0,2.0
"Port Canaveral, FL",A,2004,510.2,54.5
"Port Everglades, FL",A,2004,232472.64,267620.57000000164
"Port Hueneme, CA",P,2004,10731.18,782.66
"Port Manatee, FL",G,2004,4785.15,1369.66
"Portland, ME",A,2004,1214.76,906.79
"Portland, OR",P,2004,70179.82,139248.06
"Portsmouth, NH",A,2004,4.0,0.0
"Salem, NJ",A,2004,0.0,0.0
"San Diego, CA",P,2004,45691.97,4727.61
"San Francisco, CA",P,2004,17635.15,6119.46
"San Juan, PR",PR,2004,155597.96,44265.49
"Savannah, GA",A,2004,664969.11,625209.37
"Seattle, WA",P,2004,680780.2000000016,368324.33
"Tacoma, WA",P,2004,601186.9900000012,339450.91
"Tampa, FL",G,2004,7494.9,4797.42
"Vancouver, WA",P,2004,2484.4,37.0
"West Palm Beach, FL",A,2004,38049.58000000135,118414.39
"Wilmington, DE",A,2004,119614.48,28483.87
"Wilmington, NC",A,2004,51737.56,28838.67
"Aberdeen, WA",P,2005,1.0,12.0
"Anacortes, WA",P,2005,0.0,0.0
"Anchorage, AK",AK,2005,512.51,32484.87
"Baltimore, MD",A,2005,244069.46,137914.31
"Baton Rouge, LA",G,2005,15.49,0.0
"Beaufort-Morehead City, NC",A,2005,27.25,12.0
"Beaumont, TX",G,2005,0.0,39.0
"Boston, MA",A,2005,74083.76000000013,56462.99
"Brunswick, GA",A,2005,14.0,0.0
"Camden, NJ",A,2005,140.51,10569.36
"Charleston, SC",A,2005,901106.8,620493.7399999994
"Chester, PA",A,2005,55596.60000000018,45613.39
"Corpus Christi, TX",G,2005,0.0,0.0
"Everett, WA",P,2005,0.0,2622.31
"Fernandina Beach, FL",A,2005,7220.72,8731.850000000011
"Fort Pierce, FL",A,2005,839.6,2027.6
"Freeport, TX",G,2005,27808.5,25712.88
"Galveston, TX",G,2005,3607.18,1558.28
"Gloucester City, NJ",A,2005,0.0,83.0
"Gramercy, LA",G,2005,783.55,418.2
"Gulfport, MS",G,2005,108929.76,76943.57000000024
"Honolulu, HI",HI,2005,23625.86,27633.10000000005
"Houston, TX",G,2005,625933.4899999991,624279.17
"Jacksonville, FL",A,2005,45351.93,101885.08
"Kodiak, AK",AK,2005,0.0,515.81
"Lake Charles, LA",G,2005,71.0,507.37
"Long Beach, CA",P,2005,3374091.28,1038210.66
"Longview, WA",P,2005,3.0,0.0
"Los Angeles, CA",P,2005,3865546.1199999903,1049264.79
"Mayaguez, PR",PR,2005,14229.73999999977,11837.439999999908
"Miami, FL",A,2005,443972.38,334464.62000000133
"Mobile, AL",G,2005,14004.65,10468.28
"New Orleans, LA",G,2005,70004.4,111410.02
"New York, NY",A,2005,2438367.47,978254.2500000007
"Newport News, VA",A,2005,61235.77,42567.68
"Norfolk, VA",A,2005,780917.5699999988,543589.39
"Oakland, CA",P,2005,761971.1799999992,616432.19
"Panama City, FL",G,2005,7183.510000000035,6903.600000000018
"Pensacola, FL",G,2005,20.0,0.0
"Pensauken, NJ",A,2005,27.04,154.3
"Philadelphia, PA",A,2005,139031.17,20526.08
"Ponce, PR",PR,2005,128.72,0.0
"Port Angeles, WA",P,2005,0.0,0.0
"Port Arthur, TX",G,2005,23.0,14.14
"Port Canaveral, FL",A,2005,1512.88,189.88
"Port Everglades, FL",A,2005,276864.85,309952.98000000184
"Port Hueneme, CA",P,2005,15036.01,3380.83
"Port Manatee, FL",G,2005,3309.53,1028.82
"Portland, ME",A,2005,1513.14,1904.0
"Portland, OR",P,2005,60096.17,61527.05
"Portsmouth, NH",A,2005,0.0,0.0
"Salem, NJ",A,2005,0.0,0.0
"San Diego, CA",P,2005,45203.91,2794.41
"San Francisco, CA",P,2005,370.07,70.0
"San Juan, PR",PR,2005,165476.28,48590.89
"Savannah, GA",A,2005,804639.31,686024.03
"Seattle, WA",P,2005,874774.3100000019,467593.32
"Tacoma, WA",P,2005,794332.2900000016,365715.18
"Tampa, FL",G,2005,6222.28,5307.980000000021
"Vancouver, WA",P,2005,372.87,96.01
"West Palm Beach, FL",A,2005,35819.470000001915,119231.0400000017
"Wilmington, DE",A,2005,120512.17,36882.25000000072
"Wilmington, NC",A,2005,68669.14,33408.53
"Aberdeen, WA",P,2006,0.0,0.0
"Anacortes, WA",P,2006,0.0,18.0
"Anchorage, AK",AK,2006,129.0,28230.66
"Baltimore, MD",A,2006,256620.73,150244.36
"Baton Rouge, LA",G,2006,152.01,1.0
"Beaufort-Morehead City, NC",A,2006,1.88,4.0
"Beaumont, TX",G,2006,117.46,0.0
"Boston, MA",A,2006,80237.26000000014,60228.28
"Brunswick, GA",A,2006,10.0,0.0
"Camden, NJ",A,2006,1151.16,9096.76000000004
"Charleston, SC",A,2006,889376.78,618094.7900000005
"Chester, PA",A,2006,51575.98000000013,45640.52000000007
"Corpus Christi, TX",G,2006,380.0,0.0
"Everett, WA",P,2006,1231.08,1872.08
"Fernandina Beach, FL",A,2006,7853.83,11136.86
"Fort Pierce, FL",A,2006,1191.7,2194.01
"Freeport, TX",G,2006,26656.78,27982.31
"Galveston, TX",G,2006,6333.26,1726.43
"Gloucester City, NJ",A,2006,540.68,12.0
"Gramercy, LA",G,2006,1097.24,205.06000000000057
"Gulfport, MS",G,2006,97229.63,64391.860000000204
"Honolulu, HI",HI,2006,25278.94,26875.73
"Houston, TX",G,2006,662270.64,613998.6900000011
"Jacksonville, FL",A,2006,48100.27,103905.71
"Kodiak, AK",AK,2006,0.0,1013.57
"Lake Charles, LA",G,2006,7.06,228.22
"Long Beach, CA",P,2006,3747341.82,1022725.21
"Longview, WA",P,2006,0.0,0.0
"Los Angeles, CA",P,2006,4426542.1,1263550.89
"Mayaguez, PR",PR,2006,15013.959999999666,11797.040000000405
"Miami, FL",A,2006,429938.09,315594.190000001
"Mobile, AL",G,2006,26615.22,19176.89
"New Orleans, LA",G,2006,70474.53,102094.05
"New York, NY",A,2006,2601326.870000007,1049918.09
"Newport News, VA",A,2006,44255.1,30431.47
"Norfolk, VA",A,2006,834197.96,579727.7
"Oakland, CA",P,2006,815836.6900000006,581963.62
"Panama City, FL",G,2006,26314.86,22271.500000000127
"Pensacola, FL",G,2006,6.0,0.0
"Pensauken, NJ",A,2006,43.25,592.23
"Philadelphia, PA",A,2006,153895.46,27810.58
"Ponce, PR",PR,2006,59.85,0.0
"Port Angeles, WA",P,2006,2.0,0.0
"Port Arthur, TX",G,2006,53.0,0.0
"Port Canaveral, FL",A,2006,256.0,1.06
"Port Everglades, FL",A,2006,296891.92,338603.07000000257
"Port Hueneme, CA",P,2006,15713.19,2794.01
"Port Manatee, FL",G,2006,4684.15,385.97
"Portland, ME",A,2006,934.77,633.97
"Portland, OR",P,2006,87166.05,76476.16
"Portsmouth, NH",A,2006,0.0,0.0
"Salem, NJ",A,2006,0.0,0.0
"San Diego, CA",P,2006,48509.03,1192.18
"San Francisco, CA",P,2006,285.98,3.0
"San Juan, PR",PR,2006,156277.29,55725.71
"Savannah, GA",A,2006,869165.5200000016,718647.31
"Seattle, WA",P,2006,793636.890000002,421738.05
"Tacoma, WA",P,2006,735961.7800000019,355048.79
"Tampa, FL",G,2006,10246.5,5347.169999999993
"Vancouver, WA",P,2006,172.07,66.31
"West Palm Beach, FL",A,2006,32158.00000000113,115959.23000000296
"Wilmington, DE",A,2006,130189.13,43861.97999999943
"Wilmington, NC",A,2006,79140.58,47666.32
"Aberdeen, WA",P,2007,0.0,0.0
"Anacortes, WA",P,2007,0.0,0.0
"Anchorage, AK",AK,2007,77.99,28450.550000000003
"Baltimore, MD",A,2007,254494.04000000007,174999.18999999992
"Baton Rouge, LA",G,2007,0.0,0.0
"Beaufort-Morehead City, NC",A,2007,41.28,2.0
"Beaumont, TX",G,2007,296.24999999999994,34.75
"Boston, MA",A,2007,94332.84999999998,63812.220000000016
"Brunswick, GA",A,2007,23.06,21.0
"Camden, NJ",A,2007,961.12,9409.4
"Charleston, SC",A,2007,768829.02,640901.7899999995
"Chester, PA",A,2007,52044.840000000004,50997.030000000006
"Corpus Christi, TX",G,2007,594.61,179.21
"Everett, WA",P,2007,273.0,2805.75
"Fernandina Beach, FL",A,2007,3912.89,11385.26
"Fort Pierce, FL",A,2007,2380.37,2397.03
"Freeport, TX",G,2007,31325.52,28511.35
"Galveston, TX",G,2007,3981.54,2246.18
"Gloucester City, NJ",A,2007,3135.86,12.0
"Gramercy, LA",G,2007,932.6300000000001,79.31
"Gulfport, MS",G,2007,104008.83,67848.09999999999
"Honolulu, HI",HI,2007,23332.749999999996,13617.580000000002
"Houston, TX",G,2007,616439.09,800271.2699999999
"Jacksonville, FL",A,2007,41112.79,96935.69999999997
"Kodiak, AK",AK,2007,0.0,114.6
"Lake Charles, LA",G,2007,276.0,525.49
"Long Beach, CA",P,2007,3672384.0200000005,1313877.6300000001
"Longview, WA",P,2007,97.67,0.0
"Los Angeles, CA",P,2007,4327485.59,1426676.4
"Mayaguez, PR",PR,2007,16310.14,10757.24
"Miami, FL",A,2007,345213.63999999996,337411.32999999996
"Mobile, AL",G,2007,35120.91999999999,33258.26
"New Orleans, LA",G,2007,78612.40000000001,179406.04999999993
"New York, NY",A,2007,2641666.9200000004,1301648.6600000004
"Newport News, VA",A,2007,28621.779999999995,27449.74
"Norfolk, VA",A,2007,857702.5499999998,727528.4299999998
"Oakland, CA",P,2007,796738.3899999997,642358.0099999999
"Panama City, FL",G,2007,21490.77,20891.09
"Pensacola, FL",G,2007,0.0,288.0
"Pensauken, NJ",A,2007,0.0,392.31
"Philadelphia, PA",A,2007,161633.49999999997,36255.91
"Ponce, PR",PR,2007,26.950000000000003,378.0
"Port Angeles, WA",P,2007,0.0,13.98
"Port Arthur, TX",G,2007,49.0,15.19
"Port Canaveral, FL",A,2007,248.45,0.0
"Port Everglades, FL",A,2007,305581.5600000001,369179.20000000007
"Port Hueneme, CA",P,2007,17534.620000000003,2687.69
"Port Manatee, FL",G,2007,4125.88,832.3100000000001
"Portland, ME",A,2007,404.95,437.0
"Portland, OR",P,2007,106286.51,102632.19
"Portsmouth, NH",A,2007,1.09,142.78
"Salem, NJ",A,2007,0.0,0.0
"San Diego, CA",P,2007,48137.05999999999,1461.78
"San Francisco, CA",P,2007,23.85,19.0
"San Juan, PR",PR,2007,148017.33000000002,49755.93
"Savannah, GA",A,2007,1079001.7399999995,970100.07
"Seattle, WA",P,2007,784981.0200000001,505335.31
"Tacoma, WA",P,2007,722377.86,424784.0599999998
"Tampa, FL",G,2007,18866.870000000003,7818.670000000002
"Vancouver, WA",P,2007,316.13,60.0
"West Palm Beach, FL",A,2007,27214.31999999999,105642.32000000002
"Wilmington, DE",A,2007,141730.63000000003,43839.060000000005
"Wilmington, NC",A,2007,84734.16999999998,65522.84999999999
"Aberdeen, WA",P,2008,0.0,0.0
"Anacortes, WA",P,2008,0.0,0.0
"Anchorage, AK",AK,2008,56.69,25369.709999999995
"Baltimore, MD",A,2008,262201.04,175252.20000000004
"Baton Rouge, LA",G,2008,0.0,0.0
"Beaufort-Morehead City, NC",A,2008,21.27,0.0
"Beaumont, TX",G,2008,287.81,2920.37
"Boston, MA",A,2008,92758.54999999997,56080.88
"Brunswick, GA",A,2008,1.55,0.0
"Camden, NJ",A,2008,1062.0,3485.3999999999996
"Charleston, SC",A,2008,693698.81,639608.0900000002
"Chester, PA",A,2008,49649.52000000001,52324.74
"Corpus Christi, TX",G,2008,243.01,2.0
"Everett, WA",P,2008,1538.24,3779.24
"Fernandina Beach, FL",A,2008,1233.4199999999998,14865.789999999999
"Fort Pierce, FL",A,2008,3717.13,10453.11
"Freeport, TX",G,2008,31113.64,25087.05
"Galveston, TX",G,2008,5047.47,2670.9300000000003
"Gloucester City, NJ",A,2008,2572.86,0.0
"Gramercy, LA",G,2008,760.61,635.22
"Gulfport, MS",G,2008,106901.3,65702.88999999998
"Honolulu, HI",HI,2008,22298.81999999999,12733.01
"Houston, TX",G,2008,574348.21,800088.8099999999
"Jacksonville, FL",A,2008,49622.82999999999,96749.59999999996
"Kodiak, AK",AK,2008,0.0,0.0
"Lake Charles, LA",G,2008,22.990000000000002,870.31
"Long Beach, CA",P,2008,3132227.6599999988,1453416.57
"Longview, WA",P,2008,745.0400000000001,0.0
"Los Angeles, CA",P,2008,4048461.649999999,1632956.270000001
"Mayaguez, PR",PR,2008,12097.88,7944.89
"Miami, FL",A,2008,313018.51999999996,357531.61000000016
"Mobile, AL",G,2008,38194.219999999994,37116.090000000004
"New Orleans, LA",G,2008,82526.9,159405.0000000001
"New York, NY",A,2008,2567408.73,1435082.9399999992
"Newport News, VA",A,2008,13216.68,10429.48
"Norfolk, VA",A,2008,811381.7999999997,783293.5500000002
"Oakland, CA",P,2008,726050.6699999998,655669.1099999999
"Panama City, FL",G,2008,18815.460000000003,18632.679999999997
"Pensacola, FL",G,2008,230.64,0.0
"Pensauken, NJ",A,2008,0.0,450.46000000000004
"Philadelphia, PA",A,2008,159885.08,59769.22999999999
