,Accident Level,Potential Accident Level,Description,clean_description
10,1,3,"While installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",while instal segment the polyurethane pulley protective liner weigh the head pulley the ore winch when the pulley rotate compress the liner inside the channel fall from its house rub the right side the worker hip generate the injury describe
11,1,4,"While preparing the rice for the lunch of the day, when moving the pot # 60 - 35 Kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. The cook immediately after the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",while prepare the rice for the lunch the day when move the pot weight include the content evacuate the residual water the cook the rice when position the pot java tilt backwards spill some hot water the cook leg the cook immediately after the event apply first aid pour cold water the area the injury and the medical post for evaluation
12,1,1,The collaborator reports that he was working in the Ustulación and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel.,the collaborator report that work the ustulaci and realize that the cyclone duct obstruct and open the door try uncle the same and the material detach and project towards the employee cause small burn the right heel
13,4,5,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",moments that the operator the jumbo try energize your equipment proceed the installation split set intersection remove the lock and open the electric board and and when lift the thermomagnetic key this make phase grind phase contact with the panel shell produce flash which reach the operator cause the injury describe
14,1,3,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",due the accumulation well the conveyor and trailer the filter the employee perform the clean the shutter use the air lance when surprise the fall the product that above the door pass between the neck and the collar the afraid jacket and cause burn the neck and shoulder
15,1,4,"The employee was working in the When a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated PPE, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",the employee work the when thermal shock cause splash zinc his direction the employee despite use all the indicate hit small spatter that pass between the facial and the hood small burn the face region
16,3,4,"At Rp 050 of level 1620, in circumstances where the workers of the company were performing the task of diamond drilling, the assistants Jhonatan (injured) and Nilton were preparing to increase the HQ perforation pipe located on the scaffolding, Mr. Jhonatan lifts one end of the tube and supports it on the pulley of the equipment frame, the other end being on the working scaffolding, at the moment that Mr. Nilton lifts the end of the HQ pipe that is in the scaffolding to position in the frame, the upper part of the pipe comes out of the pulley falling and striking the right hand of the worker jhonatan against bolts that has the lateral part of the same frame causing the injury described.",level circumstances where the workers the company perform the task diamond drill the assistants jonathan injure and milton prepare increase the perforation pipe locate the scaffold jonathan lift one end the tube and support the pulley the equipment frame the other end the work scaffold the moment that milton lift the end the pipe that the scaffold position the frame the upper part the pipe come out the pulley fall and strike the right hand the worker jonathan against bolt that have the lateral part the same frame cause the injury describe
17,1,2,"Due to the overheating of 2 bars in row 5 of cell 7 a spark is produced, which is projected and manages to reach the Chief of guard who was in the corridor, producing a first degree burn in the neck.",due the overheat bar row cell spark produce which project and manage reach the chief guard who the corridor produce first degree burn the neck
18,1,2,"An auxiliary wheel of the cathode crane G2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. The ambulance is called and you are transferred to the clinic.",auxiliary wheel the cathode crane change area when when bear heat and hit with hammer and chisel one end the bear track detachment bear piece occur impact the thigh the right leg produce cut the ambulance call and you transfer the clinic
19,1,3,"The worker Manuel was making the disconnection of the power cables of the gate that is at the intersection of Manco streets with Cajamarquilla in order to remove it. In circumstances that Mr. José worker of the company ITS, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of Mr. who He was standing at his side.",the worker manuel make the disconnection the power cable the gate that the intersection marco streets with cajamarquilla order remove circumstances that jos worker the company remove the rope tie the body the gate this yield and fall pull the warn post which hit the helmet who stand his side
20,1,2,"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",the operator samuel about open the container for its subsequent load with silver concentrate and open the first gate afterwards try open the second door and when product the open the latter the first one open and impact with the handle the safety lens and generate the injury the leave cheekbone the face the operator
21,1,4,"In the Raise chamber, when the operator and assistant removed the drilling bar from the 71R drilling machine - weight approx. 500 Kg - holding it at the top with a 2 TM stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment.",the raise chamber when the operator and assistant remove the drill bar from the drill machine weight approx hold the top with stroke and assist with jib move horizontally the operator jib the bottom slide move the top the drill bar cause the assistant bar enforce his assistant hand between the bar and the piston the equipment
22,2,4,"While aligning the right bracket of tower N ° 32, when releasing the tension applied by the tirford of 1.5 Tn, when pushing the lever towards the tension release point, it returns by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hands of the assistant beating the assistant in the frontal region.",while align the right bracket tower when release the tension apply the titford when push the lever towards the tension release point return mechanical effect overcome the resistance the linesman operator and reshape the the hand the assistant beat the assistant the frontal region
23,2,2,"By loosening the A30-29 truck's steering cylinder bolt using power cable and socket, with the force exerted in favor of the equipment, the bolt suddenly retired and the employee hit his hand against the structure of the equipment, causing injury.",loosen the truck steer cylinder bolt use power cable and socket with the force exert favor the equipment the bolt suddenly retire and the employee hit his hand against the structure the equipment cause injury
24,1,2,"An operator of the G-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of Mr. Mollares and this helps to hold the sheet to place it in the entry chute to the slide. At the moment of releasing the blade, it tilted and brushed Mr. Mollares's left leg. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",operator the deslaminadora section unlock sheet zinc stick that can enter the slide the stack table for this require the support dollars and this help hold the sheet place the entry chute the slide the moment release the blade tilt and brush dollars leave leg the collaborator the nearby eyewash for clean and immediately the medical center
25,1,2,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",the operator will manually displace the zinc sheet adhere the aluminum cathode the moment when the blade detach the blade release from the cathode bend and graze the collaborator right hand produce small cut the knuckle the finger the worker make use his gloves leather the worker transfer the medical unit for first aid
26,1,1,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention.",the end lunch enable place the side the winch control room get and after short walk slip and sit with the floor and make contact with the leave knee and not take importance the rest the guard when the guard finish safety and communicate the fact for which reason derive natclar for your attention
27,1,3,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",the end the rock break the intersection the ramp and the open the access the ventilation chimney the master loader identify rock the mesh proceed unload them the end decide verify there still remain position himself under the line fire which time fragment rock fall between the cicada mesh impact between the lens and the helmet cause the injury
28,1,4,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand.",the worker carry out his work level stop and place metal mesh the basket the scissor the mesh fall and hit the back his right hand
29,2,3,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.,when use the griff wrench unscrew the rod from the probe the key come move press the employee finger against the probe
30,1,2,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",when the plant operator semi kneel when lift the lid gate the distributor box the secondary mill and his right knee slip due the presence debris spill the platform floor grate which give him extra effort his leave leg generate muscle contractors
31,1,2,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.",level access time when the engineer trainee planamieto enter verify the amount split set place the scissor the support hold his notebook and pen his leave hand while inspect the roof the work lose the balance when step rock hold the right hand rock the floor cause the injury the worker the time the accident wear gloves but not use them because make difficult take note
32,3,4,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.",the worker garang while work with barretilla stop level while unload metal mesh the basket ampoloader with his operator juan barretilla embed safety boot react immediately the worker remove the limb with force and manage release the foot but produce wind the right foot
33,5,5,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",approximately circumstances that shotcrete launch the the after finish the launch the first minaret the assistant the alpha alberto ask the operator the minaret phony move the minaret that access find the cockpit the minaret the operator the launcher team canon ask him come down when the team start notice that canon injure imprison between the team height the leave rear rim and the partial labor
34,1,2,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,the employee clear the pipe when tap his right thumb against the flange cause little trauma
35,1,3,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.",when replace the telescopic expansion joint the pipe the storm drainage pump system report that the piece involuntarily move when position the holder press its finger against the holder cause wind right chem
36,1,4,"During the withdrawal the Kelly bar (conductive bar of 45 Kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.",during the withdrawal the kelly bar conductive bar length and diameter the equipment perforation the part two workers one them position the low part tie the bar and the injure one position the upper part hold the bar when position the bar the platform they lose control the bar move with the finger the right hand against the pulleys the frame the time the accident the worker wear safety gloves and the drill rig block
37,1,5,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,when start the activity remove coil electric cable the warehouse with the help forklift truck the operator not notice that there beehive due the movement the coil the excite realize the fact the operator turn off the equipment and leave the area people pass sting
38,1,5,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,when start the activity remove coil electric cable the warehouse with the help forklift truck the operator not notice that there beehive due the movement the coil the excite realize the fact the operator turn off the equipment and leave the area people pass sting
39,1,4,"During the pre-use inspection of the Jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. Take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity.",during the pre use inspection the jumbo check list equipment the operator the equipment find behind the seat plastic bottle fill with liquid apparently mineral water without any label label take the bottle and take small sip the liquid expel immediately when notice that not water immediately proceed wash with enough water and transfer the medical center for your attention the liquid with which have contact esengrasante product equipment and machinery low toxicity
40,2,4,"During maintenance of the Flyght pump rotor, the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee's face, striking him superficially on the forehead, causing injury.",during maintenance the flight pump rotor the oil pressure the the lubrication chamber cause the chamber cover project towards the employee face strike him superficially the forehead cause injury
41,1,4,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work.",approx there leakage sulfur dioxide from section due water seal blow due overpressure the acid plant that moment there collaborators company and work near the impact area who evacuate the medical center for their care then return their usual work
54,1,3,"While performing the cutting of the meshes protruding in the gables of the work, the assistant loader is positioned at 1.40mt. on the floor using a portable ladder which was held at the base by the master loader, at which time the loader assistant loses balance and when falling is held by the mesh with the hand hanging at 0.80mt. of the floor causing the injury.",while perform the cut the mesh protrude the gables the work the assistant loader position the floor use portable ladder which hold the base the master loader which time the loader assistant lose balance and when fall hold the mesh with the hand hang the floor cause the injury
55,1,3,"The operator was in the center (Demag IV), performing maintenance. When transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger (Left thumb) against the pillar of support of the oven specified below (figure).",the operator the center deal perform maintenance when transport the hydraulic cylinder with the help another operator the official unbalance come the cylinder that carry press his finger leave thumb against the pillar support the oven specify below figure
56,1,3,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot.",during the start the neutral leach process the employee jonathan proceed open the air valve the tank airlift circumstance which the process solution return through the chimney the solution come into contact with the arm and right foot
57,1,3,"At a time when two assistants were carrying a bag of cement weighing 42.5 kg to the lamp of the loader - suspended about 10 cm from the floor, the left foot of one of the assistants slid and hit the edge of the baton.",time when two assistants carry bag cement weigh the lamp the loader suspend about from the floor the leave foot one the assistants slide and hit the edge the baton
58,1,3,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning.",the operator clean with spatula spear through one the windows the boiler that time force action hit the window frame cause injury the little finger the leave hand the operator have all for boiler clean
59,1,4,"The locomotive No. 15 operated by MAPERU personnel, was directed with 10 wagons loaded with ore from the OP4 to the waste bin. Next to the waste bin, the patrol car (which goes on the back of the wagons) the moment it passed over a change of track, the left rear wheel of the patrol car leaves the rail advancing the locomotive leaving the patrol car tilted more ahead. The assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruises.",the locomotive operate personnel direct with wagons load with ore from the the waste bin next the waste bin the patrol car which the back the wagons the moment pass over change track the leave rear wheel the patrol car leave the rail advance the locomotive leave the patrol car tilt more ahead the assistant motorist who travel alone the patrol car remain inside the structure and suffer minor bruise
60,1,3,"On pit 831 of level 1910 when radial drilling was performed of negative holes with the simba M4C ITH No. 5 equipment, when the assistant of the equipment operator made the change of the drill bit, the metal bar (hammer) is released from the coupling of the rotation unit and when abruptly withdrawing his hands hit the back of his right hand against the team's structure. At the time of the accident the team was Paid.",pit level when radial drill perform negative hole with the simla equipment when the assistant the equipment operator make the change the drill bite the metal bar hammer release from the couple the rotation unit and when abruptly withdraw his hand hit the back his right hand against the team structure the time the accident the team pay
61,3,4,"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). In order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves.",time when worker and another partner prepare move oil cylinder gallons mobile platform mount rail platform weigh approximately derail leave the rail order place the platform the rail both workers lift the platform and those instants the right hand one them trap between the rail and the platform structure where hold metallic tube protrude from the platform this accident cause bruise wind the index finger the right hand there fracture the time the accident they both wear leather type safety gloves
62,1,4,"The operator was feeding a bag of big bag containing scraps of Zn sheets. During lifting, this loaded bag is released from the hook of the hoist, making abrupt contact with the liquid zinc of the furnace, generating an explosion and causing the operator to be hit with liquid zinc.",the operator feed bag big bag contain scrap sheet during lift this load bag release from the hook the hoist make abrupt contact with the liquid zinc the furnace generate explosion and cause the operator hit with liquid zinc
63,3,5,"In circumstances that two workers of the company INCIMMET made the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",circumstances that two workers the company make the load explosives use equipment anfoloader front the work sustain with shotcreterepentinamente the right superior part the crown piece rock approx impact the basket and the back the helper who the basket suspend height moments later block rock detach from the wall the gable approx which impact the ampoloader team and part this block injure the operator the ampoloader team who stand the grind the equipment anfoloader have cabin with protection rows and fops the time the accident both workers use helmets and safety boot both suffer polyontusions and minor scoria injuries
64,1,5,"In circumstances that two workers of the company INCIMMET fectuaban the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",circumstances that two workers the company fectuaban the load explosives use equipment anfoloader front the work sustain with shotcreterepentinamente the right superior part the crown piece rock approx impact the basket and the back the helper who the basket suspend height moments later block rock detach from the wall the gable approx which impact the ampoloader team and part this block injure the operator the ampoloader team who stand the grind the equipment anfoloader have cabin with protection rows and fops the time the accident both workers use helmets and safety boot both suffer polyontusions and minor scoria injuries
65,1,4,"The mechanic assistant after throwing the wooden blocks of support of the stabilizer of the Hiab crane truck to the ground, when descending from the truck by the access ladder when arriving at the last step jumps towards the ground - height of 69cm - treading the edge of one of The wooden blocks cause an injury to the left ankle.",the mechanic assistant after throw the wooden block support the stabilizer the hidb crane truck the grind when descend from the truck the access ladder when arrive the last step jump towards the grind height tread the edge one the wooden block cause injury the leave ankle
66,3,4,"By manually moving a steel cabinet for disposal with the help of another employee, the operator had his finger pressed down between the wall and the cabinet causing injury.",manually move steel cabinet for disposal with the help another employee the operator have his finger press down between the wall and the cabinet cause injury
67,2,3,"During the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face.",during the discharge waste the operator proceed remove bag that under the hose roll this circumstance one the end the hose move the direction the face the driver project the liquid contain and impact the ear and part the face
68,1,3,"In circumstances that the Operator 176 was going from level 620 to level 640, he noticed that the hydraulic pump's inspection cover (18 ""x32"" x3 / 8 "", 15 Kg approx.) Was about to fall, so he stopped the equipment, activates the cats and climbs up the upper part of the equipment and in moments that accommodated the cover it slides on its middle finger causing the injury.",circumstances that the operator from level level notice that the hydraulic pump inspection cover approx about fall stop the equipment activate the cat and climb the upper part the equipment and moments that accommodate the cover slide its middle finger cause the injury
69,1,2,"When installing the ripper pin of the tractor D6T-N1, the ripper support arm slides by pressing the second and third fingers of the right hand against the base of the ripper causing the injury described.",when instal the ripper pin the tractor the ripper support arm slide press the second and third finger the right hand against the base the ripper cause the injury describe
70,1,2,"The employee reports that when he lowered the cloths in the purification, he arranged the cart so that it would not grab the pipe, pressing his left hand between the cloths and the cart.",the employee report that when lower the cloths the purification arrange the cart that would not grab the pipe press his leave hand between the cloths and the cart
71,1,2,"At the end of the loading of explosives on the work front, the master loader enters to verify the mooring of the blasting accessories, when retiring from the top (1.5 m), he hears the sound of fragments of rock rolling through the support mesh, directs its gaze towards the crown in a vertical form, at which point a small fragment of rock (2x3x2cm; 36gr) passes through the openings of the mesh. sustaining impact on the forehead. At the time of the event the collaborator used his helmet and safety lens and the front was with support to the top and sacrifice mesh. The opening of the support mesh is 3 ""x 3"".",the end the load explosives the work front the master loader enter verify the moor the blast accessories when retire from the top hear the sound fragment rock roll through the support mesh direct its gaze towards the crown vertical form which point small fragment rock pass through the open the mesh sustain impact the forehead the time the event the collaborator use his helmet and safety lens and the front with support the top and sacrifice mesh the open the support mesh
72,2,2,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm.",the employee when perform the adjustment tighten operation the cutter blade with which work neglect the key slip cause the blade the equipment hit him cause blunt cut his right forearm
73,4,4,"Approximately at 11:50 a.m. in circumstances that the Messrs. of the truck crane) and William de la Cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 Kg. Mr. William de the Cross (rigger) climbs onto the truck to remove the sling, places both feet under the stretcher that supported the metal plates. At that moment the central part of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury.",approximately circumstances that the messrs the truck crane and william cruz culminate the shipment block metal plat with approximate weight william the cross rigger climb onto the truck remove the sling place both feet under the stretcher that support the metal plat that moment the central part the stretcher break result which the two feet imprison produce the injury
74,1,3,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",during the placement the last support mesh cloth the work moments that from the grind the injure collaborator reach the electrowelded mesh the operator the scissor bolter position the basket when press the mesh one the protrude end the mesh cross the leather glove cause injury his right hand
75,1,4,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,the employee check for acid leakage the ship area when hit splash solution his right hemiface
76,1,4,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",the employee clear the liquid zinc pump from oven when step the platform and become unbalance with twist his leave foot
77,1,4,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",the employee transit toward the cadmium factory near tank copper sulphate when acid solution spill his direction reach his legs cause minor burn
78,1,2,"When carrying out the activity of cutting electrowelded mesh on the work front, the assistant positions his feet on one end of the mesh leaving the other end free, at the moment that the assistant bends down to make the cut with the shear, the end free of the mesh returns by inertia hitting the partner above his safety lens.",when carry out the activity cut electrowelded mesh the work front the assistant position his feet one end the mesh leave the other end free the moment that the assistant bend down make the cut with the shear the end free the mesh return inertia hit the partner above his safety lens
