Name,Website,Crunchbase URL,Funds Raised,Event,Outcome,Status
Amen.,getamen.com,https://www.crunchbase.com/organization/amen-2,$3M,Disrupt SF 2011,Contestant,Acquired
Angstro,angst.ro,https://www.crunchbase.com/organization/angstro,$225K,TC50 2008,Contestant,Acquired
Anquanbao,anquanbao.com,https://www.crunchbase.com/organization/anquanbao,,Disrupt Beijing 2011,Runner up,Acquired
Ansa,ansa.com,https://www.crunchbase.com/organization/ansa,,Disrupt SF 2013,Contestant,Operating
Anyclip,anyclip.com,https://www.crunchbase.com/organization/anyclip,$24M,TC50 2009,Finalist,Operating
App2you,app2you.com,https://www.crunchbase.com/organization/app2you,$746K,TC40 2007,Contestant,Operating
AppArchitect,apparchitect.com,https://www.crunchbase.com/organization/apparchitect,,Disrupt NYC 2013,Contestant,Acquired
Appbistro,appbistro.com,https://www.crunchbase.com/organization/appbistro,$600K,Disrupt NYC 2010,Contestant,Closed
AppChina,appchina.com,https://www.crunchbase.com/organization/appchina,$7.1M,Disrupt Beijing 2011,Contestant,Operating
Arctuition,arcsiteapp.com,https://www.crunchbase.com/organization/arctuition,,Disrupt NY 2015,Contestant,Operating
Ark,ark.com,https://www.crunchbase.com/organization/ark,$4.5M,Disrupt NYC 2012,Finalist,Operating
Arrived,GetArrived.com,https://www.crunchbase.com/organization/arrived,,Disrupt NYC 2011,Contestant,Operating
Artomatix,artomatix.com,https://www.crunchbase.com/organization/automatix,,Disrupt SF 2015,Contestant,Operating
Artsy,artsy.net,https://www.crunchbase.com/organization/art-sy,$50.9M,Disrupt NYC 2010,Contestant,Operating
"Artveoli, Inc.",artveoli.com,https://www.crunchbase.com/organization/artveoli-inc,,Disrupt NY 2016,Contestant,Operating
asap54.com,asap54.com,https://www.crunchbase.com/organization/asap54-com,$8.3M,Disrupt EU 2013,Runner up,Operating
Athla,athla.com,https://www.crunchbase.com/organization/athla-llc,,Disrupt SF 2014,Contestant,Operating
Atlas Wearables,atlaswearables.com,https://www.crunchbase.com/organization/atlas,$4M,Hardware Battlefield 2014,Finalist,Operating
Audioo,audioo.com,https://www.crunchbase.com/organization/audioo-com,,Disrupt NYC 2010,Contestant,Acquired
Ava,avawomen.com,https://www.crunchbase.com/organization/ava-3,$12.3M,Disrupt SF 2015,Contestant,Operating
Avado,avado.com,https://www.crunchbase.com/organization/avado,$1M,Disrupt NYC 2011,Contestant,Acquired
Babelverse,babelverse.com,https://www.crunchbase.com/organization/babelverse,$190K,Disrupt NYC 2012,Audience choice,Closed
Badgeville,badgeville.com,https://www.crunchbase.com/organization/badgeville,$40M,Disrupt SF 2010,Finalist,Acquired
Bark Technologies,bark.us,https://www.crunchbase.com/organization/bark-technologies,,Disrupt NY 2016,Finalist,Operating
Beam,beam.pro,https://www.crunchbase.com/organization/beam-10,$520K,Disrupt NY 2016,Winner,Acquired
Beartooth,beartooth.com,https://www.crunchbase.com/organization/beartooth-radio-inc,$2.9M,Disrupt SF 2014,Contestant,Operating
Beestar,beestar.eu,https://www.crunchbase.com/organization/beestar,$320K,Disrupt SF 2013,Contestant,Operating
BeFunky,befunky.com,https://www.crunchbase.com/organization/befunky,$1.7M,TC40 2007,Contestant,Operating
Behold.ai,behold.ai,https://www.crunchbase.com/organization/behold-ai,$20K,Disrupt NY 2016,Contestant,Operating
Betterment,betterment.com,https://www.crunchbase.com/organization/betterment,$205M,Disrupt NYC 2010,Finalist,Operating
Bidzy,bidzy.com,https://www.crunchbase.com/organization/bidzy,,Disrupt NYC 2013,Contestant,Closed
BillGuard,billguard.com,https://www.crunchbase.com/organization/billguard,$16.5M,Disrupt NYC 2011,Runner up,Acquired
BioBots,biobots.io,https://www.crunchbase.com/organization/biobots,$2.8M,Disrupt NY 2015,Finalist,Operating
Birch,birchfinance.com,https://www.crunchbase.com/organization/birch,$125K,Disrupt NY 2016,Contestant,Operating
Birdpost,birdpost.com,https://www.crunchbase.com/organization/birdpost,$350K,TC50 2008,Contestant,Operating
Bitcasa,bitcasa.com,https://www.crunchbase.com/organization/bitcasa,$20.8M,Disrupt SF 2011,Finalist,Closed
Bitcovery,bitcovery.com,https://www.crunchbase.com/organization/bitcovery,$675K,Disrupt SF 2013,Contestant,Operating
BitFusion.io,bitfusion.io,https://www.crunchbase.com/organization/bitfusion-io,$6.5M,Disrupt NY 2015,Finalist,Operating
Blaze,blaze.cc,https://www.crunchbase.com/organization/blaze-2,$2M,Hardware Battlefield 2014,Finalist,Operating
BlazingDB,blazingdb.com,https://www.crunchbase.com/organization/blazing-db,$118K,Disrupt SF 2016,Finalist,Operating
BLITAB Technology,blitab.com,https://www.crunchbase.com/organization/blitab-technology,,-,Contestant,Operating
Bloomlife,bloomlife.com,https://www.crunchbase.com/organization/bloom-technologies,$4M,-,Runner up,Operating
Bojam,bojam.com,https://www.crunchbase.com/organization/bojam,,TC50 2008,Contestant,Closed
Boomerang Commerce,boomerangcommerce.com,https://www.crunchbase.com/organization/boomerang-commerce,$20.5M,Disrupt NYC 2014,Finalist,Operating
Botify,botify.com,https://www.crunchbase.com/organization/botify,$7.2M,Disrupt NY 2016,Contestant,Operating
BRANDiD - Shop. Like a Man.,brandid.com,https://www.crunchbase.com/organization/brandid,$2.3M,Disrupt SF 2013,Contestant,Operating
Branto Inc.,branto.co,https://www.crunchbase.com/organization/branto-inc,$212K,Hardware Battlefield 2015,Contestant,Operating
Bravo Tip or Pay,trybravo.com,https://www.crunchbase.com/organization/bravo,,Disrupt SF 2015,Audience choice,Operating
Breakthrough Partners,breakthroughpartners.org,https://www.crunchbase.com/organization/breakthrough-partners,,TC50 2009,Contestant,Operating
Breezeworks,breezeworks.com,https://www.crunchbase.com/organization/breezeworks,$7M,Disrupt SF 2013,Contestant,Operating
Breinify,breinify.com,https://www.crunchbase.com/organization/breinify,,Disrupt SF 2016,Contestant,Operating
BrightContext,brightcontext.com,https://www.crunchbase.com/organization/brightcontext,,Disrupt SF 2012,Contestant,Acquired
BroadClip,broadclip.com,https://www.crunchbase.com/organization/broadclip,$8.1M,TC40 2007,Contestant,Closed
BroadPeak Partners,broadpeakpartners.com,https://www.crunchbase.com/organization/broadpeak-partners,,Disrupt NYC 2012,Contestant,Operating
Burt,burtcorp.com,https://www.crunchbase.com/organization/burt,$8.5M,TC50 2008,Contestant,Operating
Buyosphere,buyosphere.com,https://www.crunchbase.com/organization/buyosphere,$325K,Disrupt SF 2010,Contestant,Closed
Buyou,buyouapp.com,https://www.crunchbase.com/organization/buyou,$20K,Disrupt NYC 2012,Audience choice,Operating
Cake Financial,cakefinancial.com,https://www.crunchbase.com/organization/cakefinancial,,TC40 2007,Contestant,Acquired
Cake Health,cakehealth.com,https://www.crunchbase.com/organization/cake-health,$150K,Disrupt SF 2011,Finalist,Acquired
CallApp,callapp.com,https://www.crunchbase.com/organization/callapp-software,$5M,Disrupt NYC 2012,Contestant,Operating
"Calliope Waterworks, Inc.",calliopewater.com,https://www.crunchbase.com/organization/calliope-waterworks-inc,$60K,Hardware Battlefield 2016,Contestant,Operating
Carbon Health,carbonhealth.com,https://www.crunchbase.com/organization/carbon-health,$8.8M,Disrupt SF 2016,Finalist,Operating
Carbon Robotics,carbon.ai,https://www.crunchbase.com/organization/katia,$120K,Hardware Battlefield 2016,Finalist,Operating
CardFlick,cardflick.co,https://www.crunchbase.com/organization/cardflick,,Disrupt SF 2011,Audience choice,Closed
Cardify,cardify.me,https://www.crunchbase.com/organization/cardify,,Disrupt NYC 2012,Contestant,Operating
Careticker,careticker.com,https://www.crunchbase.com/organization/careticker,,Disrupt SF 2012,Contestant,Operating
CareZapp,carezapp.com,https://www.crunchbase.com/organization/carezapp,,Disrupt EU 2014,Contestant,Operating
"Caruma Technologies, Inc.",caruma.tech,https://www.crunchbase.com/organization/caruma-technologies-inc,$2M,Disrupt London 2015,Contestant,Operating
Case,choosecase.com,https://www.crunchbase.com/organization/casewallet,$2.3M,Disrupt NY 2015,Contestant,Operating
CastTV,casttv.com,https://www.crunchbase.com/organization/casttv,$3.1M,TC40 2007,Contestant,Acquired
CatchFree,catchfree.com,https://www.crunchbase.com/organization/catchfree,$5.5M,Disrupt NYC 2011,Contestant,Closed
Causecast,causecast.com,https://www.crunchbase.com/organization/causecast,,TC50 2008,Contestant,Operating
Ceedo Technologies,ceedo.com,https://www.crunchbase.com/organization/ceedo-technologies,$4.5M,TC40 2007,Contestant,Operating
CENTURY Tech,century-techinc.com,https://www.crunchbase.com/organization/century-tech-2,$2.2M,Disrupt London 2016,Contestant,Operating
ChompOn,chompon.com,https://www.crunchbase.com/organization/chompon,,Disrupt NYC 2010,Contestant,Operating
Chronos Mobile Technologies,chronosmobiletechnologies.com,https://www.crunchbase.com/organization/chronos-mobile-technologies,,Disrupt SF 2012,Contestant,Acquired
Churn Labs,churnlabs.com,https://www.crunchbase.com/organization/churn-labs,,Disrupt NYC 2011,Contestant,Closed
Chyngle,chyngle.com,https://www.crunchbase.com/organization/chyngle,,TC50 2009,Audience choice,Closed
Cinder,cindercooks.com,https://www.crunchbase.com/organization/palate-home,$496K,Disrupt SF 2014,Contestant,Operating
CitySourced,citysourced.com,https://www.crunchbase.com/organization/citysourced,$1.4M,TC50 2009,Finalist,Operating
CLASEMOVIL,clasemovil.com,https://www.crunchbase.com/organization/clasemovil,$350K,TC50 2009,Contestant,Closed
Clickable,clickable.com,https://www.crunchbase.com/organization/clickable,$32.5M,TC40 2007,Finalist,Acquired
Clicker,clicker.com,https://www.crunchbase.com/organization/clicker,$19M,TC50 2009,Contestant,Acquired
ClientShow,clientshow.com,https://www.crunchbase.com/organization/clientshow,$750K,TC50 2009,Contestant,Closed
Clixtr,focallabs.com,https://www.crunchbase.com/organization/clixtr,,TC50 2009,Contestant,Operating
Closet Couture,closetcouture.com,https://www.crunchbase.com/organization/closet-couture,$475K,TC50 2008,Contestant,Closed
Cloudflare,cloudflare.com,https://www.crunchbase.com/organization/cloudflare,$182.1M,Disrupt SF 2010,Runner up,Operating
"Cloudwear, Inc.",cloudwear.com,https://www.crunchbase.com/organization/cloudwear,,Disrupt NY 2015,Finalist,Operating
Cocodot,cocodot.com,https://www.crunchbase.com/organization/cocodot,$6.7M,TC50 2009,Contestant,Closed
Codeanywhere,codeanywhere.net,https://www.crunchbase.com/organization/codeanywhere,$848K,Disrupt NYC 2014,Audience choice,Operating
CodeGuard,codeguard.com,https://www.crunchbase.com/organization/codeguard,$2M,Disrupt NYC 2011,Audience choice,Operating
Cognitive Code,cognitivecode.com,https://www.crunchbase.com/organization/cognitivecode,$1.3M,TC40 2007,Contestant,Operating
Cohero Health,coherohealth.com,https://www.crunchbase.com/organization/coherohealth,$2M,Disrupt SF 2015,Contestant,Operating
Compass Labs,compasslabs.com,https://www.crunchbase.com/organization/compass-labs,$12M,Disrupt NYC 2010,Contestant,Closed
Connective Logic,connectivelogic.co.uk,https://www.crunchbase.com/organization/connective-logic,,TC50 2008,Contestant,Operating
ContainerShip,containership.io,https://www.crunchbase.com/organization/containership,$2.6M,Disrupt NY 2015,Contestant,Operating
CoroNet,coro.net,https://www.crunchbase.com/organization/coronet,,Disrupt NY 2015,Contestant,Operating
CosmEthics,cosmethics.com,https://www.crunchbase.com/organization/cosmethics,$411.5K,Disrupt EU 2014,Contestant,Operating
Cosmic,cosmiccart.com,https://www.crunchbase.com/organization/cosmic-cart,,Disrupt NYC 2014,Contestant,Acquired
CPUsage,cpusage.com,https://www.crunchbase.com/organization/cpusage,$925K,Disrupt SF 2013,Contestant,Closed
Crate.io,crate.io,https://www.crunchbase.com/organization/crate-technology,$8.1M,Disrupt EU 2014,Winner,Operating
Credit Sesame,creditsesame.com,https://www.crunchbase.com/organization/credit-sesame,$35.4M,Disrupt SF 2010,Contestant,Operating
Crowd Fusion,crowdfusion.com,https://www.crunchbase.com/organization/crowd-fusion,$3M,TC50 2009,Contestant,Operating
CrowdFlower Inc.,crowdflower.com,https://www.crunchbase.com/organization/crowdflower,$38M,TC50 2009,Contestant,Operating
CrowdSpirit,crowdspirit.com,https://www.crunchbase.com/organization/crowdspirit,,TC40 2007,Contestant,Closed
Cubic Telecom,cubictelecom.com,https://www.crunchbase.com/organization/cubictelecom,$37.1M,TC40 2007,Contestant,Operating
CUJO,getcujo.com,https://www.crunchbase.com/organization/cujo,,Disrupt NY 2016,Contestant,Operating
Curiator,curiator.com,https://www.crunchbase.com/organization/curiator,,Disrupt SF 2013,Contestant,Acquired
Current Labs,currentlabs.io,https://www.crunchbase.com/organization/current-labs,,Hardware Battlefield 2015,Contestant,Operating
Cyfeon Solutions,cyfeon.com,https://www.crunchbase.com/organization/cyfeon-solutions,,Disrupt NYC 2012,Contestant,Operating
DataFox,datafox.com,https://www.crunchbase.com/organization/datafox,$6.8M,Disrupt SF 2014,Contestant,Operating
DataSift,datasift.com,https://www.crunchbase.com/organization/datasift,$72M,Disrupt SF 2010,Finalist,Operating
DataXu,dataxu.com,https://www.crunchbase.com/organization/dataxu,$64M,TC50 2009,Contestant,Operating
Deja,deja.com,https://www.crunchbase.com/organization/deja,$12.5M,Disrupt NYC 2011,Contestant,Acquired
Desmos,desmos.com,https://www.crunchbase.com/organization/desmos,$900K,Disrupt NYC 2011,Contestant,Operating
Devunity,devunity.com,https://www.crunchbase.com/organization/devunity,$100K,TC50 2008,Contestant,Operating
DigitalGenius,digitalgenius.com,https://www.crunchbase.com/organization/digital-genius-artificial-intelligence,$7.3M,Disrupt NY 2015,Runner up,Operating
Discovr Labs,discovrlearning.com,https://www.crunchbase.com/organization/discovr-labs,$100K,Disrupt SF 2015,Contestant,Operating
Disease Diagnostic Group,diseasediagnostic.com,https://www.crunchbase.com/organization/disease-diagnostic-group,$1.3M,Disrupt EU 2014,Runner up,Operating
Dispatch,dispatch.com,https://www.crunchbase.com/organization/dispatch,$983K,Disrupt SF 2012,Contestant,Acquired
DocSend,docsend.com,https://www.crunchbase.com/organization/docsend,$9.7M,Disrupt NYC 2014,Contestant,Operating
Docstoc,docstoc.com,https://www.crunchbase.com/organization/docstoc,$4M,TC40 2007,Contestant,Closed
Docurated,docurated.com,https://www.crunchbase.com/organization/docurated,$5.4M,Disrupt NYC 2013,Contestant,Operating
Donay,donay.com,https://www.crunchbase.com/organization/donay,$160K,Disrupt NYC 2013,Contestant,Closed
Donde,donde.io,https://www.crunchbase.com/organization/donde-2,,Disrupt SF 2014,Audience choice,Operating
DotSpots,dotspots.com,https://www.crunchbase.com/organization/dotspots,$300K,TC50 2008,Contestant,Closed
"Driblet Labs, LLC",driblet.io,https://www.crunchbase.com/organization/driblet,$20K,Hardware Battlefield 2014,Contestant,Operating
Dropbox,dropbox.com,https://www.crunchbase.com/organization/dropbox,$1.7B,TC50 2008,Contestant,Operating
Dryft,dryft.com,https://www.crunchbase.com/organization/dryft,,Disrupt SF 2013,Finalist,Acquired
Dynosense,dynosense.com,https://www.crunchbase.com/organization/dynosense,$10.1M,Disrupt SF 2014,Contestant,Operating
EasyPaint,easypaint.com,https://www.crunchbase.com/organization/easypaint,$485K,Disrupt SF 2015,Contestant,Operating
EatWith,eatwith.com,https://www.crunchbase.com/organization/eatwith,$8M,Disrupt NYC 2013,Contestant,Operating
Edyn,edyn.com,https://www.crunchbase.com/organization/edyn,$3M,Disrupt SF 2013,Finalist,Operating
eGood,egood.com,https://www.crunchbase.com/organization/egood,$3M,Disrupt SF 2013,Audience choice,Operating
Elemental Path,elementalpath.com,https://www.crunchbase.com/organization/elemental-path,$4.3M,Hardware Battlefield 2016,Contestant,Operating
Emburse,emburse.com,https://www.crunchbase.com/organization/emburse,$120K,Disrupt SF 2015,Contestant,Operating
Emerginvest,emergevest.com,https://www.crunchbase.com/organization/emerginvest,,TC50 2008,Contestant,Closed
Emotech LTD,emotech.co,https://www.crunchbase.com/organization/emotech-ltd,$10M,Disrupt London 2015,Contestant,Operating
EnergyElephant,energyelephant.com,https://www.crunchbase.com/organization/energy-elephant,,Disrupt London 2015,Contestant,Operating
Enigma,enigma.io,https://www.crunchbase.com/organization/enigma-technologies,$34.6M,Disrupt NYC 2013,Winner,Operating
Evercam,evercam.io,https://www.crunchbase.com/organization/evercam,$1M,Disrupt NYC 2014,Contestant,Operating
Evergage,evergage.com,https://www.crunchbase.com/organization/evergage,$16.3M,Disrupt NYC 2012,Finalist,Operating
EverlyWell,everlywell.com,https://www.crunchbase.com/organization/everlywell,$5M,Disrupt SF 2016,Finalist,Operating
Everpix,everpix.com,https://www.crunchbase.com/organization/everpix,$2.4M,Disrupt SF 2011,Contestant,Closed
EveryLayer,everylayer.com,https://www.crunchbase.com/organization/everylayer,$650K,Disrupt NY 2015,Contestant,Operating
EverythingMe,everything.me,https://www.crunchbase.com/organization/everythingme,$35.5M,Disrupt NYC 2011,Contestant,Closed
exchangeP,exchangep.com,https://www.crunchbase.com/organization/exchangep,,TC50 2008,Contestant,Closed
Expect Labs,mindmeld.com,https://www.crunchbase.com/organization/expect-labs,$15.4M,Disrupt SF 2012,Finalist,Operating
Extreme Reality,xtr3d.com,https://www.crunchbase.com/organization/extremereality,$18.2M,TC40 2007,Contestant,Operating
Exversion,exversion.com,https://www.crunchbase.com/organization/exversion,,Disrupt EU 2013,Contestant,Operating
FairFleet,fairfleet360.com,https://www.crunchbase.com/organization/fairfleet,,Disrupt London 2015,Contestant,Operating
FairSoftware,fairsoftware.com,https://www.crunchbase.com/organization/fairsoftware,$100K,TC50 2008,Contestant,Closed
Famo.us,famo.us,https://www.crunchbase.com/organization/famo-us,$30.1M,Disrupt SF 2012,Contestant,Operating
Farmigo,farmigo.com,https://www.crunchbase.com/organization/farmigo,$26M,Disrupt SF 2011,Finalist,Operating
FAROO,faroo.com,https://www.crunchbase.com/organization/faroo,,TC40 2007,Contestant,Operating
Feed.fm,feed.fm,https://www.crunchbase.com/organization/feed-media,$1.2M,Disrupt SF 2013,Contestant,Operating
Fetch,buywithfetch.com,https://www.crunchbase.com/organization/buy-with-fetch,$2.3M,Disrupt NYC 2014,Contestant,Closed
Fidesmo,fidesmo.com,https://www.crunchbase.com/organization/fidesmo,$790.6K,Disrupt NYC 2014,Contestant,Operating
Filter.ly,filter.ly,https://www.crunchbase.com/organization/filter-ly,,Disrupt SF 2015,Contestant,Operating
FishingBooker,fishingbooker.com,https://www.crunchbase.com/organization/fishingbooker,$60K,Disrupt SF 2014,Audience choice,Operating
Fit Analytics,fitanalytics.com,https://www.crunchbase.com/organization/upcload,,Disrupt Beijing 2011,Contestant,Operating
Fitbit,fitbit.com,https://www.crunchbase.com/organization/fitbit,$66M,TC50 2008,Finalist,Ipo
FITIQUETTE,fitiquette.com,https://www.crunchbase.com/organization/fitiquette,,Disrupt SF 2012,Contestant,Acquired
Fleet,tryfleet.com,https://www.crunchbase.com/organization/shipstr,$6.5M,Disrupt SF 2014,Runner up,Operating
Flock,flock.com,https://www.crunchbase.com/organization/flock,$28.3M,TC40 2007,Contestant,Acquired
Floored,floored.com,https://www.crunchbase.com/organization/floored,$6.4M,Disrupt NYC 2013,Finalist,Acquired
FlowPlay,flowplay.com,https://www.crunchbase.com/organization/flowplay,$8.2M,TC40 2007,Contestant,Operating
Fluid HTML,fluidhtml.com,https://www.crunchbase.com/organization/fluidhtml,,TC50 2009,Contestant,Closed
Fluidinfo,fluidinfo.com,https://www.crunchbase.com/organization/fluidinfo,$1.7M,Disrupt NYC 2010,Contestant,Operating
Fog Creek Software,fogcreek.com,https://www.crunchbase.com/organization/fog-creek-software,,Disrupt SF 2011,Contestant,Operating
Fogo Digital,fogo.io,https://www.crunchbase.com/organization/fogo-digital-inc,,Hardware Battlefield 2015,Finalist,Operating
FoodStantly,foodstantly.com,https://www.crunchbase.com/organization/food-stantly,$5K,Disrupt London 2016,Contestant,Operating
Footnote,footnote.com,https://www.crunchbase.com/organization/footnote,$10M,TC50 2008,Contestant,Operating
Force Impact Technologies,fitguard.me,https://www.crunchbase.com/organization/force-impact-technologies,$310.5K,Hardware Battlefield 2016,Contestant,Operating
Foretuit,foretuit.com,https://www.crunchbase.com/organization/foretuit,,Disrupt NYC 2011,Contestant,Operating
Fotonauts,fotopedia.com,https://www.crunchbase.com/organization/fotonauts-2,,TC50 2008,Contestant,Operating
FOVE,getfove.com,https://www.crunchbase.com/organization/fove,$11.3M,Disrupt SF 2014,Contestant,Operating
FUSAR,fusar.com,https://www.crunchbase.com/organization/fusar-technologies-inc,$3.8M,Hardware Battlefield 2016,Contestant,Operating
GameCrush,gamecrush.com,https://www.crunchbase.com/organization/gamecrush,$700K,Disrupt SF 2010,Finalist,Closed
GazoPa,gazopa.com,https://www.crunchbase.com/organization/gazopa,,TC50 2008,Contestant,Closed
Gem,gem.co,https://www.crunchbase.com/organization/bitvault,$12.5M,Disrupt SF 2014,Contestant,Operating
Geotoko,geotoko.com,https://www.crunchbase.com/organization/geotoko,,Disrupt NYC 2010,Contestant,Acquired
Getaround,getaround.com,https://www.crunchbase.com/organization/getaround,$103M,Disrupt NYC 2011,Winner,Operating
Gifi,gifi.fr,https://www.crunchbase.com/organization/gifi,$1.2M,Disrupt SF 2010,Contestant,Closed
Giftbit,giftbit.com,https://www.crunchbase.com/organization/giftbit,$1.9M,Disrupt SF 2016,Contestant,Operating
giftgaming,giftgaming.com,https://www.crunchbase.com/organization/giftgaming,$334.6K,Disrupt EU 2014,Contestant,Operating
Gild,gild.com,https://www.crunchbase.com/organization/gild,$25.9M,Disrupt SF 2010,Contestant,Acquired
Glance Clock,glanceclock.com,https://www.crunchbase.com/organization/glance-clock,$755.9K,Hardware Battlefield 2016,Contestant,Operating
Glide,glide.me,https://www.crunchbase.com/organization/glide,$36.5M,Disrupt NYC 2013,Audience choice,Operating
Glide Health,glidehealth.us,https://www.crunchbase.com/organization/glide-health,$1M,TC50 2009,Contestant,Closed
Glider,glider.com,https://www.crunchbase.com/organization/glider,$1.4M,Disrupt NYC 2013,Contestant,Acquired
GoInstant,goinstant.com,https://www.crunchbase.com/organization/goinstant,$1.7M,Disrupt SF 2011,Contestant,Acquired
GoodGuide,goodguide.com,https://www.crunchbase.com/organization/goodguide,$14.2M,TC50 2008,Finalist,Acquired
GoPlanit,goplanit.com,https://www.crunchbase.com/organization/goplanit,$500K,TC50 2008,Contestant,Operating
GotStatus,gotstat.us,https://www.crunchbase.com/organization/gotstatus,,TC40 2007,Contestant,Closed
GradFly,gradfly.co,https://www.crunchbase.com/organization/gradfly,$191.5K,Disrupt NYC 2013,Contestant,Closed
Green Bits,greenbits.com,https://www.crunchbase.com/organization/green-bits,,Disrupt SF 2015,Runner up,Operating
Gripe,gri.pe,https://www.crunchbase.com/organization/gripe,,Disrupt SF 2010,Contestant,Closed
Grockit,grockit.com,https://www.crunchbase.com/organization/grockit,$44.7M,TC50 2008,Finalist,Acquired
Grow the Planet,growtheplanet.com,https://www.crunchbase.com/organization/grow-the-planet,$566.1K,Disrupt SF 2011,Contestant,Operating
gulu.com,gulu.com,https://www.crunchbase.com/organization/gulu-com,$300K,Disrupt Beijing 2011,Contestant,Closed
GunZoo.com,gunzoo.com,https://www.crunchbase.com/organization/gunzoo-com,,Disrupt SF 2010,Contestant,Operating
Gyft,gyft.com,https://www.crunchbase.com/organization/gyft,$6.3M,Disrupt SF 2012,Finalist,Acquired
H2L,h2l.com,https://www.crunchbase.com/organization/h2l,,Disrupt SF 2015,Contestant,Operating
HackerRank,hackerrank.com,https://www.crunchbase.com/organization/hackerrank,$24.2M,Disrupt SF 2012,Contestant,Operating
Halo Neuroscience,haloneuro.com,https://www.crunchbase.com/organization/halo-neuroscience,$10.7M,Disrupt NY 2016,Contestant,Operating
Hammer & Chisel,discordapp.com,https://www.crunchbase.com/organization/hammer-and-chisel,,Disrupt SF 2013,Finalist,Operating
Hamwells,hamwells.com,https://www.crunchbase.com/organization/hamwells,$1.3M,Disrupt London 2015,Contestant,Operating
Handle,handle.com,https://www.crunchbase.com/organization/handle,$22M,Disrupt NYC 2013,Runner up,Operating
Hangout Industries,hangout.net,https://www.crunchbase.com/organization/hangout-industries,$12M,TC50 2008,Contestant,Operating
Happy Toy Machine,happytoymachine.com,https://www.crunchbase.com/organization/happy-toy-machine,,Disrupt NYC 2011,Audience choice,Operating
Hark,hark.com,https://www.crunchbase.com/organization/hark,$5M,TC50 2009,Contestant,Operating
Health2Sync,health2sync.com,https://www.crunchbase.com/organization/h2-inc,$4.5M,Hardware Battlefield 2014,Contestant,Operating
HealthCrew,healthcrew.me,https://www.crunchbase.com/organization/healthcrew,,Disrupt NYC 2014,Contestant,Operating
HealthyOut,healthyout.com,https://www.crunchbase.com/organization/healthyout,$1.2M,Disrupt NYC 2013,Finalist,Acquired
